finish -2: Computing delta...
finish -1: Starting kernel launch from Python binding, s_q=4096, topk_length=2048
[B85 SQ42 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B25 SQ12 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B113 SQ56 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B43 SQ21 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B1 SQ0 CTA1] k=0 [WG1] finish: KV/kv_peer ready
[B56 SQ28 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B57 SQ28 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B29 SQ14 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B61 SQ30 CTA1] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B45 SQ22 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B101 SQ50 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B24 SQ12 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B104 SQ52 CTA0] k=0 [WG3] step 4-pre: wait bar_ds_ready phase=0
[B133 SQ66 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B91 SQ45 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B115 SQ57 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B20 SQ10 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B127 SQ63 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B112 SQ56 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B69 SQ34 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B90 SQ45 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B138 SQ69 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B34 SQ17 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B2 SQ1 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B35 SQ17 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B63 SQ31 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B147 SQ73 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[WG0 CTA0] finish 5: softmax computed and s stored to SMEM
[B31 SQ15 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B132 SQ66 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B60 SQ30 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B62 SQ31 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B120 SQ60 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B40 SQ20 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B86 SQ43 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B28 SQ14 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B5 SQ2 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B72 SQ36 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B49 SQ24 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B87 SQ43 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B122 SQ61 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B0 SQ0 CTA0] k=0 [WG1] finish: KV/kv_peer ready
[B124 SQ62 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B4 SQ2 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B142 SQ71 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B64 SQ32 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B41 SQ20 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B125 SQ62 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B25 SQ12 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B39 SQ19 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B8 SQ4 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B97 SQ48 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B38 SQ19 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B117 SQ58 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B71 SQ35 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B9 SQ4 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B89 SQ44 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B129 SQ64 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B145 SQ72 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B73 SQ36 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B105 SQ52 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B33 SQ16 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B114 SQ57 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B78 SQ39 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B44 SQ22 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B79 SQ39 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B48 SQ24 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B51 SQ25 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B123 SQ61 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B3 SQ1 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B54 SQ27 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B139 SQ69 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B119 SQ59 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B109 SQ54 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B143 SQ71 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B65 SQ32 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B55 SQ27 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B81 SQ40 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B88 SQ44 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B59 SQ29 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B16 SQ8 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B108 SQ54 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B95 SQ47 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B92 SQ46 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B137 SQ68 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B46 SQ23 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B100 SQ50 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B96 SQ48 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B130 SQ65 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B32 SQ16 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B53 SQ26 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B80 SQ40 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B58 SQ29 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B94 SQ47 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B76 SQ38 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B22 SQ11 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B74 SQ37 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B13 SQ6 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B42 SQ21 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B24 SQ12 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B93 SQ46 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B10 SQ5 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B103 SQ51 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B104 SQ52 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B67 SQ33 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B107 SQ53 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B135 SQ67 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B75 SQ37 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B12 SQ6 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B70 SQ35 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B45 SQ22 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B132 SQ66 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B144 SQ72 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B136 SQ68 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B116 SQ58 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B84 SQ42 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B26 SQ13 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B133 SQ66 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B118 SQ59 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B110 SQ55 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B90 SQ45 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B115 SQ57 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B77 SQ38 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B56 SQ28 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B66 SQ33 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B121 SQ60 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B82 SQ41 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B128 SQ64 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B126 SQ63 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B7 SQ3 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B140 SQ70 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B11 SQ5 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B146 SQ73 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B98 SQ49 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B47 SQ23 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B17 SQ8 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B6 SQ3 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B23 SQ11 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B15 SQ7 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B27 SQ13 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B50 SQ25 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B101 SQ50 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B131 SQ65 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B106 SQ53 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B29 SQ14 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B40 SQ20 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B18 SQ9 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B52 SQ26 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B36 SQ18 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B14 SQ7 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B102 SQ51 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B91 SQ45 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B111 SQ55 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B141 SQ70 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B21 SQ10 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B113 SQ56 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B85 SQ42 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B61 SQ30 CTA1] k=0 [WG3] step 6: bar_kv_peer_ready done
[B43 SQ21 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B134 SQ67 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B72 SQ36 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B60 SQ30 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B68 SQ34 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B37 SQ18 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B83 SQ41 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B19 SQ9 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B99 SQ49 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B147 SQ73 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B2 SQ1 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B120 SQ60 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B8 SQ4 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[WG0 CTA1] finish 7: delta loaded from global memory
[B9 SQ4 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B62 SQ31 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B73 SQ36 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B89 SQ44 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B63 SQ31 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B105 SQ52 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B129 SQ64 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B46 SQ23 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B3 SQ1 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B20 SQ10 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B69 SQ34 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B30 SQ15 CTA0] k=0 [WG3] step 4: bar_ds_ready done
[B58 SQ29 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B92 SQ46 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B93 SQ46 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B103 SQ51 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B57 SQ28 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B107 SQ53 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B116 SQ58 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B121 SQ60 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B35 SQ17 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B34 SQ17 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B88 SQ44 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B104 SQ52 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B130 SQ65 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B128 SQ64 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B138 SQ69 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B102 SQ51 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B42 SQ21 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B31 SQ15 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B127 SQ63 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B122 SQ61 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B4 SQ2 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B79 SQ39 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B64 SQ32 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B5 SQ2 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B49 SQ24 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B61 SQ30 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B28 SQ14 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B142 SQ71 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B135 SQ67 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B112 SQ56 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B1 SQ0 CTA1] k=1 [WG1] wait bar_dq_ready phase=0 (begin)
[B1 SQ0 CTA1] k=0 [WG3] step 4-pre: wait bar_ds_ready phase=0
[B72 SQ36 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B71 SQ35 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B38 SQ19 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B39 SQ19 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B97 SQ48 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B124 SQ62 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B60 SQ30 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B8 SQ4 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B78 SQ39 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B145 SQ72 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B86 SQ43 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B33 SQ16 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B51 SQ25 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B139 SQ69 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B143 SQ71 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B123 SQ61 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B109 SQ54 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B105 SQ52 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B15 SQ7 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B48 SQ24 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B125 SQ62 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B14 SQ7 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B65 SQ32 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B81 SQ40 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B129 SQ64 CTA1] k=0 [WG3] step 8: bar_dkv_part0_done done
[B114 SQ57 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B108 SQ54 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B95 SQ47 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B53 SQ26 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B16 SQ8 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B32 SQ16 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B137 SQ68 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B94 SQ47 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B96 SQ48 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B70 SQ35 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B80 SQ40 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B54 SQ27 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B44 SQ22 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B144 SQ72 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B98 SQ49 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B82 SQ41 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B17 SQ8 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B55 SQ27 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B136 SQ68 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B134 SQ67 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B146 SQ73 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B30 SQ15 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B22 SQ11 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B0 SQ0 CTA0] k=1 [WG1] wait bar_dq_ready phase=0 (begin)
[B52 SQ26 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B50 SQ25 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B67 SQ33 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B119 SQ59 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B18 SQ9 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B106 SQ53 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B84 SQ42 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B7 SQ3 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B66 SQ33 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B132 SQ66 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B6 SQ3 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B56 SQ28 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B10 SQ5 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B128 SQ64 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B76 SQ38 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B12 SQ6 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B90 SQ45 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B77 SQ38 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B75 SQ37 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B26 SQ13 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B118 SQ59 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B24 SQ12 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B74 SQ37 CTA0] k=0 [WG3] step 5: bar_dkv_part0_ready arrive
[B40 SQ20 CTA0] k=0 [WG3] step 7: bar_dq_ready arrive
[B13 SQ6 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B100 SQ50 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B36 SQ18 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[WG0 CTA0] finish 6: s ready for WG3
[B0 SQ0 CTA0] k=0 [WG3] step 3: bar_s_ready done
[B31 SQ15 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B133 SQ66 CTA1] k=0 [WG3] step 8: bar_dkv_part0_done done
[B83 SQ41 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B19 SQ9 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B126 SQ63 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B11 SQ5 CTA1] k=0 [WG3] step 7: bar_dq_ready arrive
[B110 SQ55 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B111 SQ55 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B79 SQ39 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B147 SQ73 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B21 SQ10 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B99 SQ49 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B141 SQ70 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B23 SQ11 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B140 SQ70 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B135 SQ67 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B113 SQ56 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B37 SQ18 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B85 SQ42 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B78 SQ39 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B86 SQ43 CTA0] k=0 [WG3] step 7: bar_dq_ready arrive
[B68 SQ34 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B114 SQ57 CTA0] k=0 [WG3] step 7: bar_dq_ready arrive
[B15 SQ7 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B14 SQ7 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
[B2 SQ1 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B35 SQ17 CTA1] k=0 [WG3] step 8-pre: wait bar_dkv_part0_done phase=0
[B120 SQ60 CTA0] k=0 [WG3] step 6: bar_kv_peer_ready done
[B30 SQ15 CTA0] k=0 [WG3] step 6-pre: wait bar_kv_peer_ready phase=0
